dimension,points,threads,type,rep,time_ms
2,100000,1,serial,1,144.951
2,100000,1,serial,2,176.95
2,100000,1,serial,3,164.986
2,100000,1,serial,4,140.258
2,100000,1,serial,5,132.309
2,100000,1,serial,6,106.613
2,100000,1,serial,7,115.077
2,100000,1,serial,8,118.49
2,100000,1,serial,9,126.293
2,100000,1,serial,10,109.904
2,100000,1,parallel,1,109.956
2,100000,1,parallel,2,104.013
2,100000,1,parallel,3,108.358
2,100000,1,parallel,4,105.934
2,100000,1,parallel,5,122.908
2,100000,1,parallel,6,107.896
2,100000,1,parallel,7,102.64
2,100000,1,parallel,8,115.995
2,100000,1,parallel,9,106.259
2,100000,1,parallel,10,119.421
2,100000,2,parallel,1,91.565
2,100000,2,parallel,2,84.854
2,100000,2,parallel,3,94.909
2,100000,2,parallel,4,82.472
2,100000,2,parallel,5,82.502
2,100000,2,parallel,6,88.614
2,100000,2,parallel,7,79.883
2,100000,2,parallel,8,92.225
2,100000,2,parallel,9,93.633
2,100000,2,parallel,10,76.389
2,100000,4,parallel,1,81.708
2,100000,4,parallel,2,75.562
2,100000,4,parallel,3,84.477
2,100000,4,parallel,4,83.92
2,100000,4,parallel,5,91.841
2,100000,4,parallel,6,79.572
2,100000,4,parallel,7,83.858
2,100000,4,parallel,8,90.665
2,100000,4,parallel,9,79.805
2,100000,4,parallel,10,79.768
2,100000,8,parallel,1,76.454
2,100000,8,parallel,2,73.945
2,100000,8,parallel,3,81.153
2,100000,8,parallel,4,88.103
2,100000,8,parallel,5,84.701
2,100000,8,parallel,6,77.808
2,100000,8,parallel,7,79.655
2,100000,8,parallel,8,76.161
2,100000,8,parallel,9,82.925
2,100000,8,parallel,10,78.692
2,200000,1,serial,1,145.609
2,200000,1,serial,2,149.855
2,200000,1,serial,3,151.093
2,200000,1,serial,4,160.652
2,200000,1,serial,5,154.332
2,200000,1,serial,6,150.101
2,200000,1,serial,7,168.119
2,200000,1,serial,8,159.083
2,200000,1,serial,9,145.744
2,200000,1,serial,10,181.578
2,200000,1,parallel,1,157.269
2,200000,1,parallel,2,140.53
2,200000,1,parallel,3,146.814
2,200000,1,parallel,4,156.507
2,200000,1,parallel,5,143.842
2,200000,1,parallel,6,140.295
2,200000,1,parallel,7,164.574
2,200000,1,parallel,8,139.274
2,200000,1,parallel,9,161.606
2,200000,1,parallel,10,142.516
2,200000,2,parallel,1,117.26
2,200000,2,parallel,2,125.687
2,200000,2,parallel,3,108.436
2,200000,2,parallel,4,132.979
2,200000,2,parallel,5,126.453
2,200000,2,parallel,6,137.465
2,200000,2,parallel,7,119.538
2,200000,2,parallel,8,135.48
2,200000,2,parallel,9,153.313
2,200000,2,parallel,10,124.29
2,200000,4,parallel,1,129.08
2,200000,4,parallel,2,112.682
2,200000,4,parallel,3,108.814
2,200000,4,parallel,4,109.772
2,200000,4,parallel,5,106.231
2,200000,4,parallel,6,114.141
2,200000,4,parallel,7,108.636
2,200000,4,parallel,8,111.144
2,200000,4,parallel,9,112.983
2,200000,4,parallel,10,105.433
2,200000,8,parallel,1,142.13
2,200000,8,parallel,2,153.566
2,200000,8,parallel,3,101.377
2,200000,8,parallel,4,109.669
2,200000,8,parallel,5,104.327
2,200000,8,parallel,6,107.729
2,200000,8,parallel,7,107.685
2,200000,8,parallel,8,105.235
2,200000,8,parallel,9,109.617
2,200000,8,parallel,10,102.354
2,300000,1,serial,1,714.109
2,300000,1,serial,2,701.777
2,300000,1,serial,3,743.834
2,300000,1,serial,4,724.893
2,300000,1,serial,5,791.148
2,300000,1,serial,6,726.55
2,300000,1,serial,7,673.227
2,300000,1,serial,8,685.608
2,300000,1,serial,9,673.896
2,300000,1,serial,10,677.728
2,300000,1,parallel,1,662.107
2,300000,1,parallel,2,876.079
2,300000,1,parallel,3,734.569
2,300000,1,parallel,4,673.085
2,300000,1,parallel,5,674.451
2,300000,1,parallel,6,713.409
2,300000,1,parallel,7,738.904
2,300000,1,parallel,8,676.13
2,300000,1,parallel,9,667.33
2,300000,1,parallel,10,682.406
2,300000,2,parallel,1,594.7
2,300000,2,parallel,2,592.555
2,300000,2,parallel,3,581.042
2,300000,2,parallel,4,520.349
2,300000,2,parallel,5,589.756
2,300000,2,parallel,6,552.843
2,300000,2,parallel,7,517.952
2,300000,2,parallel,8,533.916
2,300000,2,parallel,9,580.095
2,300000,2,parallel,10,598.775
2,300000,4,parallel,1,511.102
2,300000,4,parallel,2,526.928
2,300000,4,parallel,3,536.47
2,300000,4,parallel,4,520.221
2,300000,4,parallel,5,528.818
2,300000,4,parallel,6,561.234
2,300000,4,parallel,7,538.739
2,300000,4,parallel,8,617.991
2,300000,4,parallel,9,539.838
2,300000,4,parallel,10,535.433
