x,y,cluster
0.287,0.93,0
0.599,0.785,3
0.09,0.786,0
0.278,0.909,0
0.203,0.849,0
0.256,0.478,0
0.421,0.031,1
0.525,0.106,4
0.317,0.504,0
0.662,0.837,3
0.485,0.674,3
0.321,0.052,1
1.001,0.594,2
0.699,0.755,3
0.078,0.81,0
0.448,0.085,4
0.368,0.011,1
0.493,0.092,4
0.269,0.438,0
0.673,0.786,3
0.292,0.895,0
0.238,0.522,0
0.087,0.757,0
0.387,0.043,1
0.495,0.116,4
0.697,0.818,3
0.294,0.489,0
0.309,0.966,0
0.524,0.059,4
0.383,0.714,0
0.492,0.755,3
0.718,0.754,3
0.974,0.524,2
0.994,0.553,2
0.624,0.865,3
0.925,0.584,2
0.224,0.513,0
0.338,0.06,1
0.115,0.765,0
0.689,0.832,3
0.34,0.562,0
0.562,0.149,4
0.651,0.834,3
0.074,0.745,0
0.39,0.688,0
0.103,0.782,0
0.512,0.086,4
0.972,0.522,2
1.022,0.551,2
0.519,0.08,4
0.717,0.769,3
0.314,0.857,0
0.083,0.807,0
0.295,0.459,0
0.315,0.485,0
0.616,0.863,3
1.002,0.536,2
0.064,0.771,0
0.322,0.921,0
0.43,0.695,3
0.457,0.699,3
0.426,0.761,3
0.32,0.898,0
0.965,0.564,2
0.388,0.052,1
0.329,0.493,0
0.424,0.753,3
0.11,0.762,0
0.419,0.747,3
0.68,0.815,3
0.313,0.961,0
0.743,0.827,3
0.263,0.928,0
0.068,0.804,0
0.454,0.076,4
0.276,0.507,0
0.577,0.128,4
0.526,0.792,3
0.991,0.625,2
0.682,0.839,3
0.406,0.694,3
0.489,0.165,4
0.268,0.91,0
0.719,0.787,3
0.161,0.837,0
0.458,0.776,3
0.129,0.826,0
0.631,0.806,3
0.386,0.033,1
0.499,0.183,4
0.679,0.806,3
0.66,0.791,3
0.148,0.778,0
0.044,0.782,0
0.621,0.032,4
0.237,0.967,0
0.89,0.514,2
0.465,0.692,3
0.378,0.706,0
0.61,0.824,3
0.351,0.002,1
0.291,0.508,0
0.383,0.073,1
0.397,0.652,0
0.611,0.074,4
0.522,0.103,4
0.061,0.779,0
0.892,0.55,2
0.24,0.511,0
0.247,0.928,0
0.661,0.849,3
0.958,0.527,2
0.677,0.714,3
0.379,0.884,0
0.312,1.005,0
0.234,0.936,0
0.051,0.825,0
0.374,0.04,1
0.477,0.103,4
0.487,0.798,3
0.461,0.671,3
0.459,0.112,4
0.973,0.523,2
0.3,0.964,0
0.09,0.751,0
0.524,0.134,4
0.246,0.509,0
0.298,0.484,0
0.51,0.077,4
0.489,0.003,4
0.938,0.513,2
0.072,0.754,0
0.309,0.933,0
0.074,0.791,0
1.026,0.506,2
0.335,0.72,0
0.401,0.041,1
0.232,0.519,0
0.472,0.069,4
0.305,0.054,1
0.47,0.68,3
0.542,0.085,4
0.456,0.099,4
0.474,0.714,3
0.397,0.681,0
0.087,0.801,0
0.099,0.777,0
0.373,0.086,1
0.456,0.811,3
0.304,0.886,0
0.222,0.489,0
0.285,0.51,0
0.529,0.048,4
0.393,0.719,0
0.44,0.063,1
0.263,0.49,0
0.607,0.767,3
0.638,0.863,3
0.434,0.093,1
0.987,0.657,2
0.398,0.108,1
0.089,0.768,0
0.072,0.758,0
0.407,0.117,1
0.057,0.767,0
0.502,0.014,4
0.319,0.892,0
0.497,0.151,4
0.281,0.514,0
0.287,0.497,0
0.376,0.736,0
0.223,0.995,0
0.253,0.53,0
1.006,0.507,2
0.267,0.885,0
0.43,0.75,3
0.443,0.683,3
0.445,0.043,4
0.255,0.515,0
0.134,0.769,0
0.498,0.113,4
0.413,0.716,3
0.106,0.748,0
0.061,0.861,0
0.356,0.071,1
0.055,0.788,0
0.902,0.542,2
0.314,0.07,1
0.705,0.811,3
0.589,0.862,3
0.716,0.819,3
0.001,0.826,0
0.083,0.783,0
0.304,0.961,0
0.444,0.701,3
0.646,0.837,3
0.963,0.57,2
0.997,0.487,2
0.51,0.074,4
0.123,0.798,0
0.301,0.877,0
0.978,0.492,2
0.39,0.049,1
0.405,0.056,1
0.242,0.449,0
0.5,0.751,3
1.017,0.529,2
0.387,0.085,1
0.299,0.897,0
0.693,0.876,3
1.014,0.492,2
0.434,0.061,1
0.986,0.546,2
0.444,0.075,4
0.726,0.757,3
0.889,0.577,2
0.58,0.747,3
0.372,0.084,1
0.498,0.134,4
0.747,0.824,3
0.435,0.071,1
1.039,0.549,2
0.431,0.749,3
0.446,0.019,4
0.32,0.968,0
0.318,0.905,0
0.269,0.448,0
0.443,0.695,3
0.192,0.53,0
0.025,0.786,0
0.083,0.795,0
0.495,0.702,3
0.25,0.923,0
1.023,0.522,2
0.485,0.127,4
0.117,0.79,0
0.348,0.515,0
0.488,0.084,4
0.368,0.75,0
0.141,0.807,0
0.55,0.109,4
0.699,0.812,3
0.271,0.864,0
0.455,0.117,4
0.068,0.754,0
0.439,0.687,3
0.718,0.759,3
0.012,0.819,0
0.621,0.835,3
0.711,0.791,3
0.505,0.087,4
0.406,0.084,1
0.247,0.495,0
0.411,0.744,3
0.675,0.781,3
0.373,0.889,0
0.628,0.711,3
0.256,0.934,0
0.28,0.462,0
0.285,0.945,0
0.694,0.742,3
0.344,0.053,1
0.034,0.785,0
1.007,0.53,2
0.438,0.705,3
0.645,0.852,3
0.992,0.502,2
0.317,0.891,0
0.145,0.795,0
0.515,0.086,4
0.545,0.163,4
1.041,0.544,2
0.697,0.773,3
0.258,0.868,0
0.527,0.022,4
0.306,0.475,0
0.078,0.749,0
0.567,0.097,4
0.414,0.133,1
0.314,0.527,0
0.973,0.515,2
0.943,0.567,2
0.409,0.704,3
0.713,0.852,3
0.08,0.779,0
0.223,0.515,0
0.667,0.781,3
0.115,0.749,0
0.504,0.088,4
0.321,0.469,0
0.438,0.046,1
0.139,0.78,0
0.074,0.794,0
0.399,0.106,1
0.518,0.033,4
0.333,0.877,0
0.339,0.028,1
0.111,0.803,0
0.374,0.085,1
0.446,0.038,4
0.152,0.45,0
0.043,0.744,0
0.693,0.764,3
0.939,0.55,2
0.31,0.454,0
0.467,0.048,4
0.997,0.59,2
0.411,0.016,1
0.566,0.042,4
0.077,0.726,0
0.375,0.067,1
0.504,0.05,4
0.354,0.078,1
0.019,0.81,0
0.426,0.062,1
0.516,0.091,4
0.212,0.449,0
0.677,0.69,3
0.948,0.53,2
0.362,0.148,1
0.268,0.511,0
0.098,0.771,0
0.29,0.591,0
0.487,0.146,4
