dimension,points,threads,serial_avg_ms,parallel_avg_ms,speedup,efficiency
2,100000,1,133.5831,110.33800000000001,1.2106717540647827,1.2106717540647827
2,100000,2,133.5831,86.7046,1.5406691225148377,0.7703345612574188
2,100000,4,133.5831,83.1176,1.6071578101388877,0.4017894525347219
2,100000,8,133.5831,79.9597,1.670630330028752,0.208828791253594
2,200000,1,156.6166,149.3227,1.0488465584937856,1.0488465584937856
2,200000,2,156.6166,128.0901,1.2227065167409503,0.6113532583704752
2,200000,4,156.6166,111.8916,1.3997172263154698,0.34992930657886745
2,200000,8,156.6166,114.3689,1.3693984990674914,0.17117481238343643
2,300000,1,711.277,709.847,1.0020145186216185,1.0020145186216185
2,300000,2,711.277,566.1983,1.2562330194209343,0.6281165097104672
2,300000,4,711.277,541.6774,1.3131007496343765,0.3282751874085941
2,300000,8,711.277,498.1091,1.4279542373347527,0.17849427966684409
2,400000,1,398.8671,380.2596,1.048933675836192,1.048933675836192
2,400000,2,398.8671,315.8881,1.2626847924945575,0.6313423962472787
2,400000,4,398.8671,295.9235,1.3478723386280576,0.3369680846570144
2,400000,8,398.8671,271.7293,1.4678840301726754,0.18348550377158443
2,600000,1,369.3289,359.6236,1.026987383475389,1.026987383475389
2,600000,2,369.3289,284.0854,1.3000629388205096,0.6500314694102548
2,600000,4,369.3289,266.52,1.3857455350442744,0.3464363837610686
2,600000,8,369.3289,244.6324,1.509730109339564,0.1887162636674455
2,800000,1,5420.7880000000005,5431.829,0.9979673513286226,0.9979673513286226
2,800000,2,5420.7880000000005,4218.643,1.2849601163217652,0.6424800581608826
2,800000,4,5420.7880000000005,4687.947999999999,1.1563242595694323,0.2890810648923581
2,800000,8,5420.7880000000005,3753.747,1.4441005214256584,0.1805125651782073
2,1000000,1,1427.29,1323.346,1.0785463514455025,1.0785463514455025
2,1000000,2,1427.29,1079.2158,1.3225251149955366,0.6612625574977683
2,1000000,4,1427.29,999.2442,1.428369561714744,0.357092390428686
2,1000000,8,1427.29,906.2242,1.5749855278638554,0.19687319098298192
3,100000,1,384.70550000000003,383.6555,1.0027368303073982,1.0027368303073982
3,100000,2,384.70550000000003,268.545,1.4325550652590813,0.7162775326295406
3,100000,4,384.70550000000003,262.9151,1.4632309060985849,0.3658077265246462
3,100000,8,384.70550000000003,282.1535,1.3634617327093232,0.1704327165886654
3,200000,1,396.225,388.1149,1.020896131532183,1.020896131532183
3,200000,2,396.225,259.89660000000003,1.5245486089467888,0.7622743044733944
3,200000,4,396.225,260.502,1.5210055968860123,0.3802513992215031
3,200000,8,396.225,265.6769,1.4913791902871496,0.1864223987858937
3,300000,1,1216.671,1222.17,0.9955006259358354,0.9955006259358354
3,300000,2,1216.671,849.4681,1.4322739135230622,0.7161369567615311
3,300000,4,1216.671,793.0368,1.5341923603040868,0.3835480900760217
3,300000,8,1216.671,836.8093,1.4539405812052997,0.18174257265066246
3,400000,1,3894.665,3819.56,1.019663259642472,1.019663259642472
3,400000,2,3894.665,2616.016,1.4887772093137044,0.7443886046568522
3,400000,4,3894.665,2603.544,1.4959090378345825,0.37397725945864563
3,400000,8,3894.665,2697.509,1.4438005582187121,0.18047506977733901
3,600000,1,6120.237,5897.404,1.0377849304541455,1.0377849304541455
3,600000,2,6120.237,4220.571,1.4500969181658123,0.7250484590829062
3,600000,4,6120.237,5150.198,1.188349845967087,0.29708746149177173
3,600000,8,6120.237,4249.999,1.4400561035426127,0.1800070129428266
3,800000,1,1924.149,2289.099,0.840570460255323,0.840570460255323
3,800000,2,1924.149,1631.507,1.1793691354067128,0.5896845677033564
3,800000,4,1924.149,1200.6970000000001,1.60252669907562,0.400631674768905
3,800000,8,1924.149,1235.65,1.557195807874398,0.19464947598429974
3,1000000,1,5983.759,5820.99,1.027962425635502,1.027962425635502
3,1000000,2,5983.759,5816.493,1.0287571909740112,0.5143785954870056
3,1000000,4,5983.759,4899.177,1.221380448185481,0.30534511204637027
3,1000000,8,5983.759,4336.942,1.3797184744458193,0.1724648093057274
